episode,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss
328,17.2622,1.2508,2.35,39.73,338,-0.006660
329,17.4559,1.0307,2.10,33.58,358,-0.006673
330,19.3655,1.1935,2.30,37.90,393,-0.006673
331,17.7321,1.3094,2.54,42.75,370,-0.006674
332,17.2316,1.0854,2.26,36.77,370,-0.006684
333,18.3007,1.1211,2.29,37.14,375,-0.006683
334,17.6612,1.1542,2.43,40.68,354,-0.006681
335,17.0948,1.2476,2.47,41.89,362,-0.006690
336,17.3519,1.2362,2.38,39.66,360,-0.006691
337,17.3730,1.0842,2.19,35.72,368,-0.006687
338,17.5078,1.2531,2.34,38.36,356,-0.006691
339,18.1223,1.1952,2.34,39.46,379,-0.006692
340,17.8485,1.0606,2.17,35.18,364,-0.006693
341,18.6806,1.1569,2.19,36.09,374,-0.006689
342,19.0263,1.1565,2.34,38.87,373,-0.006690
343,18.5281,1.2254,2.43,40.42,384,-0.006690
344,17.9768,1.1405,2.26,37.85,355,-0.006695
345,17.5745,1.3224,2.39,39.73,358,-0.006703
346,17.9185,1.2710,2.36,38.91,368,-0.006699
347,18.3547,1.1285,2.26,36.93,378,-0.006703
348,19.3902,1.3667,2.51,42.51,379,-0.006705
349,18.4132,1.1124,2.17,35.23,362,-0.006703
350,16.4705,1.1988,2.30,37.53,365,-0.006714
351,19.9505,1.1754,2.31,39.22,387,-0.006709
352,18.3570,1.0831,2.17,34.70,376,-0.006714
353,18.8285,1.1203,2.26,36.90,367,-0.006713
354,17.9669,1.1332,2.20,36.25,385,-0.006709
355,19.7496,1.1975,2.24,36.88,384,-0.006706
356,17.6203,1.2834,2.54,41.69,375,-0.006715
357,18.6399,1.1921,2.29,36.96,370,-0.006713
358,17.7286,1.2580,2.30,38.41,355,-0.006715
359,17.1665,1.1697,2.22,36.82,353,-0.006714
360,19.4497,1.1894,2.29,37.47,374,-0.006715
361,17.6248,1.1314,2.27,37.56,361,-0.006721
362,17.8820,1.1381,2.16,35.26,363,-0.006717
363,18.3791,1.2831,2.33,40.06,375,-0.006718
364,19.8187,1.1636,2.21,36.05,386,-0.006716
365,17.9687,1.3242,2.35,38.56,370,-0.006714
366,15.9802,1.1800,2.29,37.48,321,-0.006717
367,16.9432,1.2011,2.26,36.84,338,-0.006719
368,17.8382,1.3021,2.33,38.58,358,-0.006719
369,16.9499,1.1455,2.31,38.51,333,-0.006722
370,18.0538,1.1539,2.14,34.64,361,-0.006723
371,17.1567,1.2339,2.28,37.24,354,-0.006730
372,18.8734,1.1183,2.24,37.24,378,-0.006725
373,15.4137,1.1389,2.31,38.34,341,-0.006728
374,16.8257,1.2280,2.30,38.62,355,-0.006724
375,17.3548,1.1779,2.37,40.10,369,-0.006736
376,18.8712,1.1790,2.32,38.70,373,-0.006732
377,16.4610,1.1382,2.29,37.57,339,-0.006737
378,18.1992,1.3642,2.44,40.70,372,-0.006731
379,18.1715,1.1047,2.29,38.16,378,-0.006742
380,18.1546,1.1888,2.26,37.04,381,-0.006742
381,16.5967,1.0822,2.21,36.56,364,-0.006744
382,17.4774,1.2444,2.32,38.08,364,-0.006743
383,18.4640,1.3383,2.41,40.34,358,-0.006747
384,19.0156,1.2102,2.25,37.19,368,-0.006749
385,17.3788,1.2644,2.46,41.15,363,-0.006746
386,18.0652,1.1477,2.28,37.77,361,-0.006747
387,18.8084,1.2105,2.30,37.71,380,-0.006745
