tls_id,timesteps,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,entropy_loss
A1,655360,,,0.033698,-5.3e-05,-0.001812
A1,659456,,,0.03401,0.0,-0.001505
A1,663552,,,0.032571,-5e-06,-0.003355
A1,667648,,,0.030775,-0.000389,-0.003246
A1,671744,,,0.029587,-0.000128,-0.002787
A1,675840,,,0.033016,-0.0,-0.002239
A1,679936,,,0.02947,-0.000111,-0.004555
A1,684032,,,0.030994,0.0,-0.003969
A1,688128,,,0.029717,-0.000339,-0.017107
A1,692224,,,0.033764,-0.000255,-0.003987
A1,696320,,,0.032858,-0.000276,-0.003886
A1,700416,,,0.033547,-0.000681,-0.008958
A1,704512,,,0.030747,-0.0,-0.003197
A1,708608,,,0.034824,-0.000115,-0.004379
A1,712704,,,0.036349,-0.000315,-0.005936
A1,716800,,,0.031349,-7.2e-05,-0.003398
A1,720896,,,0.030314,-0.0,-0.002198
A1,724992,,,0.026593,-0.0,-0.003688
A1,729088,,,0.028603,-0.00051,-0.007201
A1,733184,,,0.030209,-0.00035,-0.007369
A1,737280,,,0.030824,-0.0,-0.003559
A1,741376,,,0.030797,4.2e-05,-0.007952
A1,745472,,,0.027892,-0.000773,-0.020439
A1,749568,,,0.033071,9.2e-05,-0.019293
A1,753664,,,0.031238,-0.000684,-0.042203
A1,757760,,,0.032615,-0.001081,-0.036999
A1,761856,,,0.031689,-0.000514,-0.02581
A1,765952,,,0.031753,-0.000635,-0.024927
A1,770048,,,0.028775,-0.000411,-0.016787
A1,774144,,,0.025224,-0.000209,-0.015648
A1,778240,,,0.034059,-0.000312,-0.014386
A1,782336,,,0.036077,-0.000321,-0.02008
A1,786432,,,0.029659,-0.000204,-0.010789
A1,790528,,,0.031192,0.0,-0.007315
A1,794624,,,0.033074,0.0001,-0.017589
A1,798720,,,0.030741,-0.000407,-0.019105
A1,802816,,,0.027517,-0.000758,-0.018275
A1,806912,,,0.034822,-0.000192,-0.013378
A1,811008,,,0.03219,-5.1e-05,-0.008567
A1,815104,,,0.037281,2.3e-05,-0.007496
A1,819200,,,0.032773,-0.000124,-0.012764
A1,823296,,,0.031783,-0.000252,-0.01546
A1,827392,,,0.032194,-1.8e-05,-0.00705
A1,831488,,,0.032078,0.0,-0.006322
A1,835584,,,0.027653,-0.00018,-0.014439
A1,839680,,,0.032974,-0.001208,-0.028942
A1,843776,,,0.027556,-0.000483,-0.017613
A1,847872,,,0.035661,-0.001026,-0.024878
A1,851968,,,0.032566,-0.00012,-0.013461
A1,856064,,,0.033732,-0.000189,-0.008843
A1,860160,,,0.033981,-0.000165,-0.007769
A1,864256,,,0.033984,-0.0,-0.006138
A1,868352,,,0.034218,-0.000623,-0.013522
A1,872448,,,0.034043,-2.4e-05,-0.005755
A1,876544,,,0.031765,-0.000397,-0.010978
A1,880640,,,0.029367,-2e-06,-0.004261
A1,884736,,,0.033913,8e-06,-0.005113
A1,888832,,,0.032073,6e-06,-0.006069
A1,892928,,,0.031028,-3e-06,-0.006521
A1,897024,,,0.036596,-0.0,-0.005098
A1,901120,,,0.031523,-0.00034,-0.012001
A1,905216,,,0.034583,-0.000529,-0.022235
A1,909312,,,0.033745,-0.000787,-0.019847
A1,913408,,,0.035722,9e-06,-0.010964
A1,917504,,,0.034618,-7e-05,-0.010965
A1,921600,,,0.035265,-9.2e-05,-0.010591
A1,925696,,,0.033904,1e-06,-0.008466
A1,929792,,,0.031389,-0.000377,-0.011513
A1,933888,,,0.035078,-0.000367,-0.006366
A1,937984,,,0.0346,-9e-06,-0.00679
A1,942080,,,0.033167,-2e-06,-0.006475
A1,946176,,,0.032631,-0.000216,-0.005022
A1,950272,,,0.033682,-0.0,-0.003271
A1,954368,,,0.031488,-0.000294,-0.008183
A1,958464,,,0.032161,0.0,-0.002956
A1,962560,,,0.029355,2e-06,-0.004726
A1,966656,,,0.035311,-5.6e-05,-0.003491
A1,970752,,,0.032232,-5.3e-05,-0.004193
A1,974848,,,0.03837,-0.0,-0.002184
A1,978944,,,0.031497,-0.0,-0.002269
A1,983040,,,0.032833,0.0,-0.002928
A1,987136,,,0.035175,-1.8e-05,-0.007449
A1,991232,,,0.030282,-2.9e-05,-0.002622
A1,995328,,,0.033294,0.0,-0.002562
A1,999424,,,0.031909,-3e-06,-0.006089
A1,1003520,,,0.03411,0.0,-0.001964
A2,4096,,,,,
A2,8192,,,0.05914,-0.045465,-0.675653
A2,12288,,,0.047642,-0.034163,-0.626726
A2,16384,,,0.046141,-0.023969,-0.563755
A2,20480,,,0.042348,-0.022476,-0.497979
A2,24576,,,0.045698,-0.017897,-0.435117
A2,28672,,,0.029393,-0.016891,-0.368924
