#{"t_start": 1776557730.566679, "env_id": "None"}
r,l,t
-182.7,367,6969.922627
-599.9,367,6973.552147
-5205.2,772,6993.456482
-601.3,367,6999.146137
-5214.2,772,7017.251237
-600.5,367,7021.021684
-187.9,367,7024.963366
-5210.0,772,7045.832607
-5210.0,772,7065.836867
-5214.2,772,7085.382092
-185.5,367,7090.839773
-189.7,367,7094.415155
-187.7,367,7097.512355
-5214.4,772,7116.169642
-604.9,367,7120.191556
-188.3,367,7123.214386
-187.9,367,7125.622416
-188.5,367,7129.073534
-192.7,367,7131.539771
-5211.8,772,7153.322601
-189.9,367,7157.327472
-188.5,367,7161.146143
-5218.0,772,7181.700023
-601.9,367,7186.07462
-5216.6,772,7206.348646
-605.7,367,7209.995211
-189.1,367,7213.994747
-5216.8,772,7237.334693
-5225.6,772,7257.69014
-5221.2,772,7278.551819
-188.7,367,7284.081258
-190.1,367,7287.014585
-5225.0,772,7307.353909
-191.9,367,7311.217256
-606.3,367,7315.490334
-603.5,367,7319.604059
-603.5,367,7323.723551
-5220.2,772,7343.521172
-5223.4,772,7366.155645
-609.9,367,7370.44028
-193.7,367,7374.111092
-607.9,367,7378.023125
-5222.4,772,7401.363124
-5229.2,772,7422.451796
-5226.0,772,7441.963181
-197.9,367,7444.391055
-610.5,367,7448.795368
-5237.6,772,7470.151797
-614.3,367,7472.948614
-612.5,367,7476.001365
-612.7,367,7481.486049
-204.3,367,7483.896043
-618.5,367,7486.568416
-5245.4,772,7507.232471
-616.7,367,7509.84976
-5241.0,772,7531.297104
-198.7,367,7535.086904
-199.3,367,7538.690181
-618.3,367,7542.325868
-202.5,367,7547.451223
-202.9,367,7551.231637
-5244.6,772,7572.772296
-5245.8,772,7595.508209
-614.5,367,7599.05251
-197.7,367,7602.936221
-5239.4,772,7623.478568
-197.5,367,7627.40672
-5234.0,772,7647.37998
-198.9,367,7651.526164
-5235.0,772,7672.183857
-5231.2,772,7692.343489
-5229.8,772,7712.442731
-5232.6,772,7732.867476
-611.9,367,7738.594497
-610.9,367,7741.689682
-5236.0,772,7761.222681
-198.3,367,7764.003105
-611.7,367,7768.274212
-5226.4,772,7787.653245
-610.3,367,7790.157542
-609.5,367,7793.418671
-5229.6,772,7816.204671
-609.9,367,7818.742709
-5232.4,772,7838.341906
-611.9,367,7842.45618
-195.9,367,7847.096352
-5237.4,772,7865.669468
-612.7,367,7869.276318
-613.5,367,7873.205845
-198.1,367,7878.568805
-5234.6,772,7899.369379
-613.3,367,7902.37071
-5234.0,772,7921.62425
-194.1,367,7924.919695
-5227.8,772,7944.585529
-194.9,367,7948.144602
-608.7,367,7950.642972
-193.5,367,7955.903489
-608.1,367,7958.439798
-608.9,367,7961.847398
-197.1,367,7965.672051
-196.3,367,7969.443367
-608.3,367,7973.311602
-612.1,367,7976.623379
-195.1,367,7979.135104
-612.9,367,7981.648676
-607.7,367,7985.553494
-613.3,367,7989.389669
-612.1,367,7994.881175
-610.7,367,7999.017468
-609.3,367,8003.174798
-197.3,367,8006.478942
-610.7,367,8009.182678
-195.7,367,8012.745653
-609.5,367,8016.036513
-612.9,367,8019.68918
-195.1,367,8023.480323
-194.9,367,8027.02381
-199.3,367,8030.294256
-610.9,367,8033.489889
-192.7,367,8038.339302
-195.1,367,8042.165117
-5227.0,772,8062.58667
-196.1,367,8066.110475
-612.1,367,8070.052402
-5230.6,772,8088.068514
-5231.8,772,8108.42004
-613.9,367,8114.169982
-614.9,367,8117.50371
-199.7,367,8121.402692
-197.7,367,8124.601053
-199.3,367,8126.913194
-5231.6,772,8147.886572
-612.1,367,8152.152503
-613.3,367,8155.309872
-615.9,367,8159.478801
-199.5,367,8163.323218
-616.5,367,8168.982748
-204.1,367,8172.690569
-5239.4,772,8192.382635
-5243.6,772,8211.96955
-201.1,367,8217.074726
-196.1,367,8220.82625
-5239.0,772,8242.454375
-199.7,367,8246.118911
-615.3,367,8250.68128
-615.5,367,8254.468519
-611.9,367,8258.599172
-612.9,367,8262.63368
-615.1,367,8266.769512
-614.5,367,8270.438674
-5241.2,772,8291.328257
-199.5,367,8295.205398
-198.1,367,8299.121833
-198.7,367,8302.705925
-198.1,367,8306.248435
-194.9,367,8309.686993
-5226.4,772,8328.915713
-193.7,367,8331.525831
