#{"t_start": 1776373617.1096044, "env_id": "None"}
r,l,t
-188.1,367,6843.166481
-5045.5,767,6861.395321
-187.5,367,6865.921519
-5027.1,766,6882.80135
-192.1,367,6885.707816
-612.2,367,6888.697662
-191.5,367,6891.299981
-187.4,367,6895.952304
-611.9,367,6899.880418
-188.4,367,6902.402447
-610.6,368,6904.924743
-615.8,367,6907.834948
-189.1,367,6912.585737
-604.8,367,6915.563383
-612.0,367,6918.826825
-5022.3,767,6938.406596
-185.6,367,6941.261929
-612.3,370,6946.931575
-5030.3,766,6964.940978
-189.2,367,6967.385557
-607.9,369,6969.976419
-189.0,367,6975.01005
-188.7,367,6977.979493
-5014.9,766,6996.721788
-189.7,367,7000.040738
-5027.4,766,7020.354785
-621.5,367,7023.270064
-610.0,367,7026.058941
-5019.4,773,7044.383946
-187.2,367,7049.506274
-609.2,367,7053.272755
-191.6,367,7056.276434
-619.2,367,7058.84703
-188.6,367,7061.299369
-607.3,367,7064.232723
-5000.0,766,7084.099682
-609.9,372,7087.791343
-186.8,367,7090.618636
-620.4,369,7093.403078
-608.7,367,7098.803834
-187.8,367,7101.630707
-5010.6,772,7120.061037
-5035.6,766,7141.248071
-5033.5,766,7160.073562
-5009.4,772,7179.154019
-5030.9,767,7199.548016
-619.7,367,7203.385507
-190.0,367,7206.652679
-188.2,367,7209.561797
-629.1,367,7213.059788
-615.4,367,7218.381622
-618.9,367,7220.980076
-185.1,367,7223.541864
-5004.5,772,7242.477953
-5036.5,767,7263.430602
-5045.2,767,7280.965995
-613.0,367,7283.621926
-186.7,367,7287.24713
-192.5,367,7291.340482
-614.6,367,7294.371038
-621.1,367,7298.051398
-630.0,367,7301.982685
-5045.5,772,7319.492689
-5061.6,773,7337.97261
-5048.0,773,7355.744747
-618.7,367,7358.300217
-5023.5,767,7378.192973
-197.1,367,7380.558231
-198.6,367,7382.850101
-5020.7,766,7401.463582
-622.7,370,7404.230585
-616.5,367,7407.474981
-624.7,367,7410.003858
-5023.2,767,7427.40852
-5001.3,766,7448.694689
-618.8,367,7451.757308
-5038.4,767,7467.660046
-617.4,367,7471.850176
-188.4,367,7474.871505
-192.4,367,7477.38025
-618.0,367,7480.017206
-190.7,367,7482.347905
-195.5,367,7485.015289
-622.4,368,7489.467364
-200.3,367,7493.276743
-5027.4,765,7510.344569
-615.9,367,7514.273296
-5044.0,767,7534.520756
-5026.9,772,7552.465124
-5062.2,773,7570.002198
-201.0,367,7574.926139
-5013.7,767,7593.483544
-5048.9,774,7610.226743
-5012.3,772,7629.35766
-624.4,367,7632.290158
-615.9,367,7635.896835
-4994.6,772,7656.338089
-202.9,367,7659.001959
-622.7,367,7661.587719
-201.5,367,7664.617178
-204.5,367,7668.022504
-204.8,367,7671.761463
-5012.4,766,7690.807266
-202.5,367,7693.31408
-621.9,367,7696.060277
-625.0,369,7700.032372
-5036.6,767,7719.20705
-5036.8,766,7738.341953
-619.4,369,7742.347444
-204.4,367,7745.949042
-628.4,367,7751.031083
-210.0,367,7754.302579
-5037.9,766,7772.416119
-623.6,367,7775.712415
-5068.5,772,7794.141012
-207.0,367,7797.499563
-209.9,367,7800.897619
-207.6,367,7803.440792
-209.1,367,7806.54849
-204.9,367,7810.41587
-5071.0,767,7829.375331
-630.0,367,7832.82973
-207.1,367,7836.180301
-211.1,367,7841.460768
-627.3,367,7844.699452
-5046.3,767,7864.016064
-5020.1,766,7881.718157
-5026.1,766,7900.18521
-5055.2,766,7919.275359
-624.8,367,7922.232933
-209.6,367,7926.96207
-630.4,367,7930.391309
-621.7,367,7933.995944
-211.9,367,7937.312671
-629.1,367,7940.597002
-5026.6,772,7960.754025
-5040.8,773,7980.339748
-210.3,367,7983.372651
-628.6,368,7987.070953
-625.9,367,7992.419658
-204.9,367,7994.784504
-205.3,367,7997.203401
-203.0,367,8000.092273
-633.9,367,8003.817043
-626.0,367,8006.662989
-5023.6,767,8025.229311
-207.7,367,8028.47752
-622.3,367,8031.47746
-627.6,367,8034.089834
-5020.9,766,8054.548755
-209.7,367,8057.177144
-5038.3,766,8075.817616
-629.3,367,8079.947388
-5025.3,766,8101.651523
-5053.2,766,8120.104374
-627.1,367,8123.42258
-211.7,367,8128.168214
-5040.2,766,8146.437908
-5054.2,772,8165.620981
-4998.0,766,8184.298076
-633.9,368,8187.261534
-5039.5,772,8202.981323
-209.7,367,8206.655562
-207.9,367,8211.863062
-210.4,367,8214.99646
-5044.7,766,8233.08437
-212.3,367,8235.952861
-5051.1,766,8253.792008
-630.9,367,8257.614806
-211.1,367,8260.868083
-4994.2,766,8277.997213
-212.7,367,8283.019016
-5075.4,767,8299.596743
-631.2,367,8303.276446
-5064.5,767,8322.856214
-5069.7,772,8340.785604
-206.9,367,8343.655163
-634.7,367,8346.700736
-5014.3,773,8364.010324
-631.9,367,8366.710688
-209.9,367,8369.06958
-210.7,367,8371.74953
-5084.2,766,8391.780871
-206.9,367,8394.987363
-5053.4,766,8411.625494
-5066.2,767,8431.026256
-5031.1,766,8449.429434
-627.2,367,8452.937926
-206.5,367,8455.307979
-5017.5,772,8473.670388
-4999.7,772,8491.520957
-622.3,367,8495.178771
-619.4,369,8497.687466
-204.3,367,8501.756948
